Purpose,Keyword / Term ,MSV,Category,SuggestedUse
Brand,ama travel,11000,Primary,Caption / alt / internal anchor text
Timeline + topic anchor,travel history,3170,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,travel alberta,680,Primary,H2 / Main anchor
Timeline + topic anchor,tourist history,350,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,tourism alberta,160,Primary,H2 / Main anchor
Timeline + topic anchor,history travel,150,Primary,H2 / Main anchor
Timeline + topic anchor,history of travel,110,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,map of alberta's cities,90,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,landmarks In alberta,90,Primary,H2 / Main anchor
Timeline anchor & long-form historical summary or section header,alberta history,90,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,alberta destinations,80,Primary,H2 / Main anchor
Timeline anchor & long-form historical summary or section header,history of tourism and hospitality industry timeline,80,Primary,H2 / Main anchor
Brand,alberta motor association travel,60,Primary,Subsection / FAQ / Alt text
Local/regional history & place-specific milestone or subsection,alberta tourism,60,Primary,H2 / Main anchor
Local/regional history & place-specific milestone or subsection,alberta on the map,50,Primary,H2 / Main anchor
Timeline + topic anchor,history of travel,50,Primary,H2 / Main anchor
Timeline anchor & long-form historical summary or section header,history of alberta,50,Primary,H2 / Main anchor
Gallery / image alt text & image-search oriented caption or filename,historical development of tourism,100,Secondary,Subsection / FAQ / Alt text
Explainer / FAQ & short authoritative answer explaining historical practices,how did people travel in the past,60,Secondary,Subsection / FAQ / Alt text
Timeline + topic anchor,tourism and history,40,Secondary,Subsection / FAQ / Alt text
Timeline + topic anchor,history of tourism,30,Secondary,Subsection / FAQ / Alt text
Timeline + topic anchor,history of travel and tourism,30,Secondary,Subsection / FAQ / Alt text
Timeline + topic anchor,history of travelling,30,Secondary,Subsection / FAQ / Alt text
Timeline + topic anchor,when did tourism start,30,Secondary,Subsection / FAQ / Alt text
Timeline anchor & long-form historical summary or section header,tourism history,30,Secondary,Subsection / FAQ / Alt text
Topic anchor,why people travel,400,Tertiary,Subsection / FAQ / Alt text
Local/regional + topic,tourism in alberta,20,Tertiary,Caption / alt / internal anchor text
Local/regional + topic,alberta travel,20,Tertiary,Caption / alt / internal anchor text
Timeline + topic anchor,evolution of travel,20,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,history of travel and tourism,20,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,the history of travel,20,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,travel through history,20,Tertiary,Caption / alt / internal anchor text
Local/regional + topic,alberta travel destinations,10,Tertiary,Caption / alt / internal anchor text
Local/regional + topic,travel in alberta,10,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,alberta history facts,10,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,history of travel timeline,10,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,history of travel agency,10,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,history of travel agencies,10,Tertiary,Caption / alt / internal anchor text
Timeline anchor & long-form historical summary or section header,history of vacations,10,Tertiary,Caption / alt / internal anchor text
Topical overview & broad discovery traffic and internal linking to destinations,canadian tourism,10,Tertiary,Caption / alt / internal anchor text
Topical overview & broad discovery traffic and internal linking to destinations,tourism in canada,10,Tertiary,Caption / alt / internal anchor text
Local/regional + topic,travel alberta industry,0,Tertiary,Caption / alt / internal anchor text
Brand history,AMA Travel history,0,,Caption / alt / internal anchor text
Brand history,Alberta Motor Association history (entity disambiguation),0,,Caption / alt / internal anchor text
Brand history,AMA founding 1926 (exact-match question),0,,Caption / alt / internal anchor text
Brand history,when was AMA Travel founded,0,,Caption / alt / internal anchor text
"Brand/entity signal & founding, mission, or disambiguation",AMAs role in Banff & Jasper tourism,0,,Caption / alt / internal anchor text
Local/regional + topical history,history of travel in Alberta,0,,Caption / alt / internal anchor text
Local/regional + topical history,oldest hotel in Edmonton,0,,Caption / alt / internal anchor text
Local/regional + topical history,first airport in Calgary / first airport in Edmonton / first airport in Alberta,0,,Caption / alt / internal anchor text
Local/regional + topical history,development of tourism in Alberta,0,,Caption / alt / internal anchor text
Local/regional + topical history,oldest travel agency in Alberta,0,,Caption / alt / internal anchor text
Local/regional + topical history,oldest travel agency in Calgary,0,,Caption / alt / internal anchor text
Local/regional + topical history,first travel agency in Alberta,0,,Caption / alt / internal anchor text
Notable milestones that differentiate,First motel in Alberta / first motor hotel in Alberta,0,,Caption / alt / internal anchor text
Notable milestones that differentiate,cruise partnerships (Princess / Holland America),0,,Caption / alt / internal anchor text
Notable milestones that differentiate,AMA Presidents Cruise,0,,Caption / alt / internal anchor text
Notable milestones that differentiate,Hotel booking services & LeisureShopper,0,,Caption / alt / internal anchor text
Timeline + topic + local anchor,Alberta tourism timeline,0,,Caption / alt / internal anchor text
Timeline + topic + local anchor,history of road trips in Alberta,0,,Caption / alt / internal anchor text
Timeline + topic anchor,how did travel agencies work before the internet,0,,Caption / alt / internal anchor text
Timeline + topic anchor,how travel agencies helped Canadians in the 1900s,0,,Caption / alt / internal anchor text